ndar id,ndar name,ndar missing value,mapping,ndar range,coins id,default value,coins name,coins missing value,function,args,coins range
,,,,,325,,pilot-apra_052t-1,,,,0;1
,,,,,326,,hgrd1_tv1-apra_052t-1,,,,0;1
,,,,,327,,twinv-apev_053t-1,,,,-1::1
,,,,,328,,pilot-apev_053t-1,,,,-1::1
,,,,,329,,hgrd1_tv1-apev_053t-1,,,,-1::1
,,,,,330,,twinv-apra_053t-1,,,,0;1
,,,,,331,,pilot-apra_053t-1,,,,0;1
,,,,,332,,hgrd1_tv1-apra_053t-1,,,,0;1
,,,,,333,,twinv-apev_054t-1,,,,-1::1
,,,,,334,,pilot-apev_054t-1,,,,-1::1
,,,,,335,,hgrd1_tv1-apev_054t-1,,,,-1::1
,,,,,336,,twinv-apra_054t-1,,,,0;1
,,,,,337,,pilot-apra_054t-1,,,,0;1
,,,,,338,,hgrd1_tv1-apra_054t-1,,,,0;1
,,,,,339,,twinv-apev_055t-1,,,,-1::1
,,,,,340,,pilot-apev_055t-1,,,,-1::1
,,,,,341,,hgrd1_tv1-apev_055t-1,,,,-1::1
,,,,,342,,twinv-apra_055t-1,,,,0;1
,,,,,343,,pilot-apra_055t-1,,,,0;1
,,,,,344,,hgrd1_tv1-apra_055t-1,,,,0;1
,,,,,345,,twinv-apev_056t-1,,,,-1::1
,,,,,346,,pilot-apev_056t-1,,,,-1::1
,,,,,347,,hgrd1_tv1-apev_056t-1,,,,-1::1
,,,,,348,,twinv-apra_056t-1,,,,0;1
,,,,,349,,pilot-apra_056t-1,,,,0;1
,,,,,350,,hgrd1_tv1-apra_056t-1,,,,0;1
,,,,,351,,twinv-apev_057t-1,,,,-1::1
,,,,,352,,pilot-apev_057t-1,,,,-1::1
,,,,,353,,hgrd1_tv1-apev_057t-1,,,,-1::1
,,,,,354,,twinv-apra_057t-1,,,,0;1
,,,,,355,,pilot-apra_057t-1,,,,0;1
,,,,,356,,hgrd1_tv1-apra_057t-1,,,,0;1
,,,,,357,,twinv-apev_058t-1,,,,-1::1
